symbol,industry,sector,volume,pe_ratio,pb_ratio,dividend_yield,pe_comp,pb_comp,div_comp,value_metric,buy_to_sell_ratio
AMRC,Engineering & Construction,Industrial Services,114448.000000,33.466039,1.35757,0.0,0,1.8415256671847493,0,1.842,8.0
NRT,Investment Trusts/Mutual Funds,Miscellaneous,57553.000000,8.033321,41.4751,11.799762,1.8672227837030286,0,3.933254,5.8,
ACSAY,Engineering & Construction,Industrial Services,21749.000000,33.454153,6.40105,0.0,0,0,0,0,
VRSK,Data Processing Services,Technology Services,2481579.000000,27.245527,79.1239,1.047209,0,0,0,0,11.0
PEP,Food: Specialty/Candy,Consumer Non-Durables,2106168.000000,24.546497,9.99882,3.640668,0,0,1.2135559999999999,1.214,10.0
PPIH,Industrial Machinery,Producer Manufacturing,47393.000000,15.573731,2.91768,0.0,0,0,0,0,
TAYD,Industrial Machinery,Producer Manufacturing,32824.000000,17.831516,2.58871,0.0,0,0,0,0,
RWEOY,Electric Utilities,Utilities,38322.000000,14.829496,1.32663,1.218056,1.0114976260825048,1.8844741940103873,0,2.896,16.0
JBTM,Industrial Machinery,Producer Manufacturing,395690.000000,-128.59,1.50295,0.309885,0,1.663395322532353,0,1.663,5.0
NWAX,Financial Conglomerates,Finance,12524.000000,1055.729167,1.45631,0.0,0,1.7166674677781517,0,1.717,
ALNY,Pharmaceuticals: Major,Health Technology,1051995.000000,129.688774,50.6758,0.0,0,0,0,0,20.0
EQH,Life/Health Insurance,Finance,2483156.000000,-8.67,-10.3815,2.581262,0,0,0,0,16.0
MCHX,Advertising/Marketing Services,Commercial Services,31229.000000,-14.63,2.54757,0.0,0,0,0,0,
CGNX,Electronic Equipment/Instruments,Electronic Technology,1060380.000000,79.532337,6.01542,0.614068,0,0,0,0,17.0
HWKN,Chemicals: Specialty,Process Industries,119222.000000,41.976339,6.63689,0.451671,0,0,0,0,
CHRD,Integrated Oil,Energy Minerals,559680.000000,189.884902,0.985126,3.708194,0,2.5377464405568424,1.2360646666666668,3.774,16.0
THD,Investment Trusts Or Mutual Funds,Miscellaneous,54045.000000,17.504814,1.557521,3.4345,0,1.6051147945998803,1.1448333333333334,2.75,
CATY,Regional Banks,Finance,194613.000000,11.490011,1.24968,2.512112,1.305481778912135,2.0005121311055634,0,3.306,
VMC,Construction Materials,Non-Energy Minerals,1485017.000000,35.921516,4.46501,0.68277,0,0,0,0,16.0
GPI,Specialty Stores,Retail Trade,164364.000000,13.720386,1.48842,0.59472,2.2841922960476477,4.971714972924309,0,7.256,12.0
APLS,Pharmaceuticals: Major,Health Technology,2236930.000000,237.761021,14.022,0.0,0,0,0,0,1.0
PTC,Packaged Software,Technology Services,611546.000000,20.024243,4.24245,0.0,1.8477602374282016,2.1214156914047306,0,3.969,14.0
GOGO,Wireless Telecommunications,Communications,655778.000000,42.706131,5.37355,0.0,0,0,0,0,
VCYT,Medical Specialties,Health Technology,423923.000000,40.595021,2.02582,0.0,0,2.5273716322279376,0,2.527,11.0
WTFC,Regional Banks,Finance,175986.000000,12.619024,1.46017,1.361674,1.1886814701358837,1.7121294095892945,0,2.901,10.0
HLI,Investment Banks/Brokers,Finance,274757.000000,24.498541,4.84597,1.504608,0,0,0,0,4.0
