Symbol,Value,BuySellRatio,AggValue
KSS,50.444,2.0,100.888
OGN,30.301,2.0,60.602
WB,22.502,10.0,225.01999999999998
M,21.36,3.0,64.08
TLRY,16.463,4.0,65.852
PENN,14.586,10.0,145.86
RIG,11.606,9.0,104.454
INTC,11.265,3.0,33.795
PLUG,10.979,8.0,87.832
BIIB,10.885,18.0,195.93
HPE,10.712,9.0,96.408
PFE,10.615,10.0,106.15
SNDK,10.058,6.0,60.348
MRK,9.822,16.0,157.152
DXC,9.791,0.0,0.0
IGT,9.652,2.0,19.304
HP,9.554,4.0,38.216
REGN,9.291,20.0,185.82
F,8.6,4.0,34.4
SWKS,8.341,3.0,25.022999999999996
VZ,8.21,11.0,90.31
LNC,8.18,1.0,8.18
MUR,8.144,3.0,24.432000000000002
GM,7.9,14.0,110.60000000000001
FSLR,7.868,32.0,251.776
CZR,7.824,13.0,101.712
WU,7.731,2.0,15.462
PRGO,7.571,4.0,30.284
BABA,7.503,53.0,397.659
DNB,7.369,2.0,14.738
NE,7.333,14.0,102.662
KHC,7.12,2.0,14.24
KBH,7.043,4.0,28.172
IPGP,7.008,2.0,14.016
GT,6.958,6.0,41.748000000000005
TGT,6.957,12.0,83.484
JNJ,6.79,11.0,74.69
HOG,6.348,5.0,31.74
PDD,6.346,34.0,215.764
NAVI,6.34,1.0,6.34
MU,6.339,34.0,215.526
ARE,6.145,5.0,30.724999999999998
KMX,6.107,13.0,79.391
TRMB,6.073,13.0,78.94900000000001
T,6.033,18.0,108.59400000000001
ON,5.888,18.0,105.984
BHF,5.88,2.0,11.76
CFG,5.776,14.0,80.864
WHR,5.743,4.0,22.972
AAP,5.653,1.0,5.653
FANG,5.609,32.0,179.488
DOW,5.505,5.0,27.525
NOK,5.477,19.0,104.063
BIO,5.454,6.0,32.724
NOV,5.423,11.0,59.653
CLF,5.423,4.0,21.692
STR,5.412,4.0,21.648
GFS,5.36,12.0,64.32000000000001
DG,5.324,11.0,58.564
CMA,5.266,4.0,21.064
AN,5.2,8.0,41.6
BG,5.192,6.0,31.152
SUN,5.131,6.0,30.786
RIOT,5.127,16.0,82.032
FLR,5.066,8.0,40.528
ZION,5.048,6.0,30.288
