Symbol,Value,BuySellRatio,AggValue
KSS,29.175,1.0,29.175
OGN,26.882,2.0,53.764
M,20.284,2.0,40.568
WB,19.733,9.0,177.597
PENN,11.879,12.0,142.548
BIIB,10.655,18.0,191.79
DXC,10.118,0.0,0.0
TLRY,9.972,3.0,29.915999999999997
PFE,9.849,9.0,88.641
INTC,9.611,2.0,19.222
RIG,9.383,9.0,84.44699999999999
SNDK,9.013,11.0,99.143
CNC,9.007,7.0,63.049
MRK,8.989,16.0,143.824
HP,8.662,4.0,34.648
VZ,8.519,12.0,102.22800000000001
WU,8.209,2.0,16.418
REGN,8.067,20.0,161.34
F,7.928,4.0,31.712
SWKS,7.86,3.0,23.580000000000002
LNC,7.808,1.0,7.808
GM,7.577,16.0,121.232
CZR,7.338,16.0,117.408
NOK,7.251,19.0,137.769
BABA,7.147,53.0,378.791
BHF,7.095,2.0,14.19
GT,7.038,8.0,56.304
KMX,6.859,13.0,89.167
FSLR,6.75,33.0,222.75
BTU,6.68,5.0,33.4
KHC,6.613,2.0,13.226
HPE,6.555,12.0,78.66
MUR,6.473,3.0,19.419
NE,6.445,10.0,64.45
KBH,6.413,4.0,25.652
HOG,6.406,5.0,32.03
CRI,6.382,0.0,0.0
NAVI,6.224,1.0,6.224
T,6.22,18.0,111.96
TGT,6.187,10.0,61.870000000000005
DOW,6.147,3.0,18.441000000000003
IPGP,6.066,2.0,12.132
MU,5.942,35.0,207.97
LKQ,5.781,8.0,46.248
NWSA,5.515,7.0,38.605
PLUG,5.475,8.0,43.8
BG,5.283,6.0,31.698
PDD,5.254,32.0,168.128
ARE,5.213,5.0,26.065
FANG,5.194,31.0,161.014
SUN,5.188,5.0,25.939999999999998
TRMB,5.141,13.0,66.833
DG,5.032,11.0,55.352000000000004
