Symbol,Value,BuySellRatio,AggValue
KSS,53.801,2.0,107.602
OGN,32.149,2.0,64.298
WB,21.733,10.0,217.33
M,20.957,3.0,62.871
TLRY,15.842,4.0,63.368
PENN,14.344,10.0,143.44
PLUG,12.425,8.0,99.4
RIG,11.606,9.0,104.454
BIIB,11.229,17.0,190.89299999999997
PFE,10.692,10.0,106.92
INTC,10.653,3.0,31.959000000000003
SNDK,10.168,5.0,50.839999999999996
DXC,9.92,0.0,0.0
HP,9.791,4.0,39.164
MRK,9.728,16.0,155.648
HPE,9.631,9.0,86.679
IGT,9.286,2.0,18.572
F,8.617,4.0,34.468
LNC,8.372,1.0,8.372
VZ,8.331,11.0,91.64099999999999
MUR,8.119,3.0,24.357
SWKS,8.087,2.0,16.174
GM,8.049,14.0,112.68599999999999
REGN,7.742,22.0,170.324
NE,7.733,13.0,100.529
WU,7.633,2.0,15.266
PRGO,7.631,4.0,30.524
FSLR,7.615,33.0,251.29500000000002
CZR,7.595,13.0,98.735
DNB,7.385,2.0,14.77
GT,7.25,6.0,43.5
KHC,7.237,2.0,14.474
KBH,7.09,4.0,28.36
BABA,7.006,54.0,378.324
IPGP,6.972,4.0,27.888
TGT,6.937,12.0,83.244
JNJ,6.891,11.0,75.801
NAVI,6.431,1.0,6.431
ARE,6.359,5.0,31.795
HOG,6.324,5.0,31.619999999999997
KMX,6.322,13.0,82.186
AES,6.283,11.0,69.113
MU,6.219,34.0,211.446
TRMB,6.135,13.0,79.755
T,6.116,18.0,110.088
BHF,6.073,2.0,12.146
CFG,5.89,14.0,82.46
ON,5.813,19.0,110.44699999999999
WHR,5.803,4.0,23.212
FANG,5.793,32.0,185.376
AAP,5.567,2.0,11.134
BIO,5.53,6.0,33.18
PDD,5.525,38.0,209.95000000000002
DOW,5.392,5.0,26.96
STR,5.377,4.0,21.508
NOV,5.36,11.0,58.96
NOK,5.354,19.0,101.726
CMA,5.351,4.0,21.404
FMC,5.341,8.0,42.728
AN,5.247,8.0,41.976
BG,5.196,6.0,31.176
FLR,5.133,8.0,41.064
ZION,5.133,6.0,30.798000000000002
GFS,5.092,12.0,61.104
SIG,5.029,5.0,25.145
DG,5.028,11.0,55.30799999999999
SUN,5.014,6.0,30.084000000000003
VICI,5.009,22.0,110.19800000000001
