Symbol,Value,BuySellRatio,AggValue
MI,83.545,,
OGN,31.73,2.0,63.46
WB,23.924,10.0,239.24
KSS,18.381,2.0,36.762
XRX,15.385,,
TLRY,14.158,4.0,56.632
PENN,13.511,10.0,135.10999999999999
PLUG,12.547,8.0,100.376
PSEC,11.907,,
CRON,11.501,,
PFE,11.415,10.0,114.14999999999999
BIIB,11.249,17.0,191.233
RIG,11.072,9.0,99.648
HPE,10.624,8.0,84.992
ODP,10.588,,
MRK,10.2,15.0,153.0
M,9.581,3.0,28.743
SNDK,9.374,5.0,46.870000000000005
DXC,9.297,,
HP,9.006,5.0,45.03
AAP,8.811,2.0,17.622
GULRY,8.795,,
F,8.729,5.0,43.644999999999996
IGT,8.716,3.0,26.147999999999996
VZ,8.613,11.0,94.743
GHC,8.601,,
GNW,8.287,,
LNC,8.224,1.0,8.224
NE,8.069,13.0,104.897
MUR,8.051,4.0,32.204
WU,7.849,2.0,15.698
BTU,7.847,,
INTC,7.813,3.0,23.439
GM,7.781,14.0,108.934
PRGO,7.768,4.0,31.072
REGN,7.664,22.0,168.608
DNB,7.402,2.0,14.804
GT,7.372,5.0,36.86
HOG,7.348,5.0,36.74
KHC,7.246,2.0,14.492
JNJ,7.182,11.0,79.00200000000001
CZR,6.85,13.0,89.05
TGT,6.813,14.0,95.38199999999999
OROVY,6.787,,
FOSL,6.639,,
SWKS,6.6,3.0,19.799999999999997
KBH,6.599,4.0,26.396
NAVI,6.505,1.0,6.505
ARE,6.4,5.0,32.0
MRNA,6.382,6.0,38.292
T,6.317,18.0,113.706
NXP,6.031,,
TRMB,6.021,13.0,78.273
ACAD,6.006,12.0,72.072
WHR,5.989,4.0,23.956
FANG,5.87,32.0,187.84
KMX,5.854,13.0,76.102
CFG,5.841,13.0,75.933
BHF,5.766,2.0,11.532
DOW,5.677,5.0,28.384999999999998
STR,5.564,4.0,22.256
NOK,5.509,20.0,110.18
SNDL,5.502,,
FLR,5.474,8.0,43.792
CMA,5.436,4.0,21.744
FSLR,5.394,35.0,188.79
IPGP,5.367,4.0,21.468
SUN,5.323,6.0,31.938000000000002
VICI,5.266,22.0,115.852
ET,5.249,18.0,94.482
BG,5.199,6.0,31.194
LYB,5.168,7.0,36.176
ZION,5.085,6.0,30.509999999999998
NOV,5.068,13.0,65.884
AN,5.029,8.0,40.232
BIO,4.977,6.0,29.862000000000002
PLL,4.92,,
CGC,4.796,1.0,4.796
SIG,4.79,5.0,23.95
MU,4.72,33.0,155.76
PVH,4.631,10.0,46.31
NWL,4.627,4.0,18.508
XRAY,4.625,5.0,23.125
AES,4.522,11.0,49.742000000000004
FMC,4.51,9.0,40.589999999999996
MGM,4.487,18.0,80.766
HII,4.421,6.0,26.526000000000003
FHN,4.255,11.0,46.805
ON,4.25,19.0,80.75
AMTM,4.232,4.0,16.928
MBC,4.231,,
LDOS,4.184,10.0,41.84
O,4.171,7.0,29.197000000000003
CLF,4.155,6.0,24.93
ACT,4.134,2.0,8.268
SLG,4.081,4.0,16.324
DV,4.016,11.0,44.176
