Symbol,Value,BuySellRatio,AggValue
KSS,35.291,1.0,35.291
OGN,29.668,2.0,59.336
M,22.008,2.0,44.016
WB,20.888,9.0,187.99200000000002
RUN,15.336,13.0,199.368
INTC,13.247,2.0,26.494
PENN,12.709,12.0,152.50799999999998
PFE,12.061,9.0,108.549
BIIB,11.301,18.0,203.418
FLR,10.383,6.0,62.297999999999995
SWKS,10.078,3.0,30.233999999999998
VTRS,9.672,3.0,29.016000000000002
DXC,9.579,0.0,0.0
MRK,9.156,14.0,128.184
HP,9.129,4.0,36.516
GT,9.025,8.0,72.2
SNDK,9.004,11.0,99.044
WU,8.829,1.0,8.829
VZ,8.678,12.0,104.13600000000001
RIG,8.553,8.0,68.424
FSLR,8.396,33.0,277.06800000000004
REGN,8.355,20.0,167.10000000000002
IPGP,8.332,3.0,24.996000000000002
CZR,8.281,16.0,132.496
CNC,7.94,6.0,47.64
NOK,7.639,17.0,129.863
MU,7.61,35.0,266.35
GM,7.558,16.0,120.928
GFS,7.452,13.0,96.876
BABA,7.432,53.0,393.896
BHF,7.407,2.0,14.814
KMX,7.347,13.0,95.51100000000001
DOW,7.235,4.0,28.94
NAVI,6.892,1.0,6.892
F,6.876,4.0,27.504
MUR,6.782,3.0,20.346
HPE,6.678,11.0,73.458
BIO,6.656,7.0,46.592
PLUG,6.638,8.0,53.104
LNC,6.564,1.0,6.564
LKQ,6.346,8.0,50.768
T,6.317,18.0,113.706
APA,6.223,7.0,43.561
TGT,6.212,10.0,62.12
KBH,6.185,4.0,24.74
NE,6.132,7.0,42.924
ON,6.121,18.0,110.17800000000001
PDD,6.077,32.0,194.464
SEAT,6.038,3.0,18.114
INCY,5.971,14.0,83.594
ARE,5.791,5.0,28.955000000000002
TLRY,5.783,3.0,17.349
NWSA,5.769,7.0,40.383
TFX,5.713,3.0,17.139
QCOM,5.668,21.0,119.028
LYB,5.494,7.0,38.458
BG,5.482,6.0,32.892
FTV,5.338,9.0,48.042
XRAY,5.334,3.0,16.002
QRVO,5.319,7.0,37.233
ZBH,5.251,12.0,63.012
NOV,5.174,12.0,62.08800000000001
KHC,5.16,2.0,10.32
WHR,5.154,3.0,15.462
NWL,5.139,5.0,25.695
HOG,5.122,5.0,25.61
CFG,5.087,18.0,91.566
MSTR,5.063,16.0,81.008
