symbol,industry,sector,volume,pe_ratio,pb_ratio,dividend_yield,pe_comp,pb_comp,div_comp,value_metric,buy_to_sell_ratio
WAFU,Miscellaneous Commercial Services,Commercial Services,10169.000000,-83.57,0.671496,0.0,0,3.723030368014106,0,3.723,
AMS,Finance/Rental/Leasing,Finance,62529.000000,-5.63,0.361114,0.0,0,6.923021538904612,0,6.923,
EGY,Oil & Gas Production,Energy Minerals,1526771.000000,-15.63,1.46926,4.0,0,1.7015368280631067,1.3333333333333333,3.035,
WOOF,Internet Retail,Retail Trade,967532.000000,93.375394,0.715711,0.0,0,13.38529099035784,0,13.385,2.0
CARV,Savings Banks,Finance,145.000000,-1.02,2.4401,0.0,0,1.0245481742551534,0,1.025,
HOMB,Regional Banks,Finance,1304790.000000,11.046943,1.20918,3.061987,1.3578417124085822,2.067516829586993,1.0206623333333333,4.446,4.0
COP,Oil & Gas Production,Energy Minerals,7123402.000000,19.158283,2.31176,2.662722,0,1.0814271377651659,0,1.081,22.0
CODA,Aerospace & Defense,Electronic Technology,177738.000000,30.547237,2.10111,0.0,0,2.4177696550870733,0,2.418,
SAH,Specialty Stores,Retail Trade,206263.000000,20.92493,2.25014,2.081587,1.5039476834570056,3.2886842596460664,0,4.793,7.0
XTEPY,Apparel/Footwear,Consumer Non-Durables,1.000000,7.877163,1.0604,6.028824,1.904238873817896,2.3576009053187477,2.009608,6.271,
PIO,Investment Trusts Or Mutual Funds,Miscellaneous,3156.000000,22.848843,3.621112,1.6906,0,0,0,0,
VSNT,Cable/Satellite TV,Consumer Services,1509399.000000,6.185279,0.558913,0.0,5.087886900493898,8.444963706337122,0,13.533,3.0
CRS,Other Metals/Minerals,Non-Energy Minerals,739730.000000,49.765367,10.7486,0.186724,0,0,0,0,9.0
LMND,Property/Casualty Insurance,Finance,1810027.000000,-29.22,9.33193,0.0,0,0,0,0,4.0
ILPT,Real Estate Investment Trusts,Finance,463280.000000,-7.55,1.03172,2.110818,0,2.4231380607141473,0,2.423,
ANGX,Movies/Entertainment,Consumer Services,762097.000000,-2.61,-14.0398,0.0,0,0,0,0,6.0
APO,Investment Managers,Finance,3715754.000000,22.274197,3.25415,1.654099,0,0,0,0,16.0
RSPH,Investment Trusts Or Mutual Funds,Miscellaneous,130534.000000,24.35554,3.066238,1.1546,0,0,0,0,
CNO,Multi-Line Insurance,Finance,429015.000000,19.289539,1.58692,1.534642,0,1.575378721044539,0,1.575,1.0
CORT,Pharmaceuticals: Major,Health Technology,724594.000000,56.489856,7.56053,0.0,1.4161834648684535,0,0,1.416,5.0
ARCC,Investment Managers,Finance,6394210.000000,10.013991,0.93323,10.317034,1.4979042821188873,2.678868017530512,3.439011333333333,7.616,12.0
AGI,Precious Metals,Non-Energy Minerals,3758192.000000,20.675907,4.1138,0.262722,0,0,0,0,13.0
WSO,Building Products,Producer Manufacturing,1022933.000000,37.301697,6.66487,2.626625,0,0,0,0,2.0
UPLD,Information Technology Services,Technology Services,119431.000000,-0.37,-0.3552,0.0,0,0,0,0,
FTMU,Investment Trusts Or Mutual Funds,Miscellaneous,55438.000000,,,0.0,0,0,0,0,
NTGR,Information Technology Services,Technology Services,429145.000000,-40.82,1.42853,0.0,0,2.303066788936879,0,2.303,
VIR,Biotechnology,Health Technology,1621390.000000,-3.36,1.93919,0.0,0,2.4649467045519007,0,2.465,10.0
FLNA,Biotechnology,Health Technology,192782.000000,-0.83,1.01287,0.0,0,4.719263084107537,0,4.719,
VCLT,Investment Trusts Or Mutual Funds,Miscellaneous,4715582.000000,,,4.6467,0,0,1.5489,1.549,
CBZ,Miscellaneous Commercial Services,Commercial Services,1427714.000000,16.795399,0.946213,0.0,0,2.6421112371104605,0,2.642,
TBBK,Regional Banks,Finance,522921.000000,11.46095,3.61416,0.0,1.3087920285840178,0,0,1.309,
BRN,Integrated Oil,Energy Minerals,96303.000000,-1.83,1.70596,0.0,0,1.4654505381134377,0,1.465,
FLGT,Medical/Nursing Services,Health Services,503550.000000,-7.94,0.436033,0.0,0,5.7335109957273875,0,5.734,
SFYF,Investment Trusts Or Mutual Funds,Miscellaneous,4018.000000,82.54397,6.004973,0.5871,0,0,0,0,
RBBN,Packaged Software,Technology Services,839260.000000,12.068966,1.04136,0.0,3.0657141630857194,8.642544365061074,0,11.708,5.0
SSTK,Internet Software/Services,Technology Services,220019.000000,14.046556,1.07739,7.661748,2.6340976393074573,8.353521009105338,2.553916,13.542,
AVB,Real Estate Investment Trusts,Finance,1653517.000000,23.558355,2.10254,4.033739,0,1.1890380206797493,1.3445796666666665,2.534,7.0
XSW,Investment Trusts Or Mutual Funds,Miscellaneous,27686.000000,200.49011,3.444499,0.214,0,0,0,0,
LCTX,Biotechnology,Health Technology,1305338.000000,-5.57,8.45885,0.0,0,0,0,0,7.0
EGHT,Packaged Software,Technology Services,1103369.000000,-57.28,1.76484,0.0,0,5.0996124294553615,0,5.1,
IONS,Pharmaceuticals: Major,Health Technology,2390321.000000,-29.28,24.1173,0.0,0,0,0,0,19.0
UAN,Chemicals: Agricultural,Process Industries,103569.000000,14.395449,5.34448,7.844013,1.041995980813103,0,2.614671,3.657,
TTEK,Engineering & Construction,Industrial Services,3223927.000000,23.664866,4.4573,0.824089,0,0,0,0,5.0
