symbol,industry,sector,volume,pe_ratio,pb_ratio,dividend_yield,pe_comp,pb_comp,value_score,income_score,quality_score,yield_trap_flag,value_metric,buy_to_sell_ratio
LEG,Home Furnishings,Consumer Durables,2666221.0,6.395622,1.44104,0.01839926,1.923190582557881,3.1921390107144836,2.431,0.0,1.0,False,1.516,0.0
LEGO,Financial Conglomerates,Finance,32967.0,,1.36971,0.0,0.0,1.825203875272868,0.73,0.0,-0.1,False,0.335,0.0
LEGR,Investment Trusts Or Mutual Funds,Miscellaneous,2854.0,16.199572,2.052025,0.020512000000000002,0.0,1.2183087438018543,0.487,0.0,0.6,False,0.423,0.0
LEU,Other Metals/Minerals,Non-Energy Minerals,483932.0,54.028582,5.42208,0.0,0.0,0.0,0.0,0.0,0.7,False,0.21,9.0
LFUS,Electronic Production Equipment,Electronic Technology,298167.0,-140.21,4.15261,0.00729891,0.0,1.228143264115821,0.491,0.0,0.2,False,0.305,2.0
LGND,Pharmaceuticals: Major,Health Technology,231345.0,37.41541,4.46037,0.0,2.1381564440961625,1.1658225662893438,1.749,0.0,0.7,False,1.085,8.0
LHX,Aerospace & Defense,Electronic Technology,1419631.0,34.801159,3.07169,0.01513024,0.0,1.6538127219869194,0.662,0.0,1.0,False,0.631,17.0
LIFE,Packaged Software,Technology Services,440977.0,15.498807,-48.6196,0.0,2.387280517784369,0.0,1.432,0.0,0.5,False,0.866,9.0
LII,Industrial Machinery,Producer Manufacturing,464729.0,24.082103,15.3386,0.00972163,0.0,0.0,0.0,0.0,0.7,False,0.21,3.5
LIN,Chemicals: Specialty,Process Industries,2578099.0,34.30492,6.0758,0.01217225,0.0,0.0,0.0,0.0,1.0,False,0.3,10.5
LINC,Miscellaneous Commercial Services,Commercial Services,234990.0,64.311396,6.51517,0.0,0.0,0.0,0.0,0.0,0.7,False,0.21,6.0
LITE,Electrical Products,Producer Manufacturing,4774674.0,275.905088,76.0993,0.0,0.0,0.0,0.0,0.0,1.0,False,0.3,20.0
LITX,Investment Trusts Or Mutual Funds,Miscellaneous,5615334.0,,,0.0,0.0,0.0,0.0,0.0,0.3,False,0.09,0.0
LIVE,Home Furnishings,Consumer Durables,4682.0,1.993784,0.423883,0.0,6.16917379214599,10.85205115562549,8.042,0.0,0.0,False,4.021,0.0
LIVN,Medical Specialties,Health Technology,634607.0,-13.63,2.73704,0.0,0.0,1.8706339695437408,0.748,0.0,0.2,False,0.434,8.0
LKQ,Automotive Aftermarket,Consumer Durables,4367207.0,15.716134,1.2319,0.03799873,0.0,3.7340693238087503,1.494,1.2666243333333334,1.2,False,1.36,9.0
LLESY,Engineering & Construction,Industrial Services,3032.0,-16.65,0.445038,0.049152760000000004,0.0,5.617497831645837,2.247,1.5,0.1,False,1.454,3.0
LLY,Pharmaceuticals: Major,Health Technology,4352374.0,33.641698,37.1526,0.00666595,2.3780012530877603,0.0,1.427,0.0,1.0,False,1.014,28.0
LLYVA,Movies/Entertainment,Consumer Services,135547.0,-29.6,-16.6324,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
LLYVK,Movies/Entertainment,Consumer Services,254094.0,-30.29,-17.0217,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
LMB,Miscellaneous,Miscellaneous,113965.0,30.851294,5.92866,0.0,0.0,0.0,0.0,0.0,0.7,False,0.21,0.0
LMRI,Medical/Nursing Services,Health Services,440644.0,,1.56925,0.0,0.0,1.5931177314003504,0.637,0.0,0.2,False,0.379,8.0
LMT,Aerospace & Defense,Electronic Technology,1403027.0,25.085115,15.9077,0.026063290000000003,1.1468952803285932,0.0,0.688,0.0,1.2,False,0.704,4.5
LNC,Multi-Line Insurance,Finance,1582018.0,6.477865,0.72438,0.04760645,2.315577740505552,3.45122725641238,2.77,1.5,1.2,False,2.045,3.0
LNG,Oil & Gas Pipelines,Industrial Services,2000335.0,11.396324,7.37832,0.0076741199999999996,1.316213894936648,0.0,0.79,0.0,1.0,False,0.695,24.0
LNT,Electric Utilities,Utilities,4310954.0,23.370465,2.57085,0.028394390000000002,0.0,0.0,0.0,0.0,1.2,False,0.36,8.0
LNTH,Medical Specialties,Health Technology,981651.0,24.79707,5.57718,0.0,1.4114570794049457,0.0,0.847,0.0,0.7,False,0.633,11.0
LOB,Regional Banks,Finance,172700.0,14.380235,1.47175,0.00319149,1.04309839164659,1.6986580601324954,1.305,0.0,0.7,False,0.862,0.0
LOGI,Computer Peripherals,Electronic Technology,882217.0,20.785094,6.23795,0.01411764,1.250896435686074,1.6447711187168863,1.408,0.0,0.7,False,0.914,4.0
LOOP,Chemicals: Specialty,Process Industries,141557.0,-24.6,-9.1089,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0
LOPE,Miscellaneous Commercial Services,Commercial Services,431907.0,21.917861,6.20047,0.0,0.0,0.0,0.0,0.0,0.7,False,0.21,0.0
LPLA,Investment Banks/Brokers,Finance,1288824.0,30.609478,5.0053,0.00359142,0.0,0.0,0.0,0.0,1.0,False,0.3,14.0
LRCX,Industrial Machinery,Producer Manufacturing,8094187.0,48.670278,30.4649,0.00391685,0.0,0.0,0.0,0.0,1.0,False,0.3,27.0
LRGE,Investment Trusts Or Mutual Funds,Miscellaneous,6730.0,37.189342,10.785631,0.0035470000000000002,0.0,0.0,0.0,0.0,0.4,False,0.12,0.0
LSAK,Packaged Software,Technology Services,26257.0,-7.71,2.15367,0.0,0.0,4.178913203972754,1.672,0.0,-0.1,False,0.806,0.0
LSCC,Semiconductors,Electronic Technology,1938415.0,5483.408072,23.4217,0.0,0.0,0.0,0.0,0.0,1.0,False,0.3,14.0
LSEGY,Financial Publishing/Services,Commercial Services,453042.0,41.311601,2.58749,0.01116408,0.0,0.0,0.0,0.0,0.7,False,0.21,17.0
LTBR,Chemicals: Specialty,Process Industries,723612.0,-16.17,2.14776,0.0,0.0,1.1640034268260886,0.466,0.0,0.2,False,0.293,0.0
LTC,Real Estate Investment Trusts,Finance,281534.0,15.173892,1.72373,0.05965463,0.0,1.4503431511895715,0.58,1.5,0.9,False,0.86,1.0
LTM,Airlines,Transportation,422613.0,9.597755,10.1341,0.01338778,3.3632865185660608,0.0,2.018,0.0,0.7,False,1.219,11.0
LTPZ,Investment Trusts Or Mutual Funds,Miscellaneous,34527.0,,,0.025815,0.0,0.0,0.0,0.0,-0.1,False,-0.03,0.0
LTRX,Computer Peripherals,Electronic Technology,1243090.0,-29.92,3.57785,0.0,0.0,2.8676439761309163,1.147,0.0,0.5,False,0.724,0.0
LULU,Apparel/Footwear,Consumer Non-Durables,4183461.0,10.382345,3.23297,0.0,1.444760311856329,0.0,0.867,0.0,1.0,False,0.734,4.0
LUMN,Major Telecommunications,Communications,12042530.0,-5.33,-8.5561,0.0,0.0,0.0,0.0,0.0,0.3,False,0.09,1.0
LUNA,Electronic Equipment/Instruments,Electronic Technology,1052.0,,,0.0,0.0,0.0,0.0,0.0,-0.3,False,-0.09,
LVHD,Investment Trusts Or Mutual Funds,Miscellaneous,30528.0,18.950613,2.626955,0.036094,0.0,0.0,0.0,1.2031333333333334,0.6,False,0.421,0.0
LVS,Casinos/Gaming,Consumer Services,4882504.0,20.213947,30.2224,0.01922725,0.0,0.0,0.0,0.0,1.0,False,0.3,17.0
LW,Food: Specialty/Candy,Consumer Non-Durables,1509726.0,20.323875,3.31266,0.03421355,0.0,0.0,0.0,1.1404516666666669,1.2,False,0.588,5.0
LXFR,Other Metals/Minerals,Non-Energy Minerals,138754.0,70.491803,1.8014,0.0345515,0.0,1.3878094815143778,0.555,1.1517166666666667,0.9,False,0.778,0.0
LYB,Chemicals: Specialty,Process Industries,7589301.0,-32.06,2.38321,0.06434316,0.0,1.0490053331431137,0.42,1.5,0.5,False,0.66,1.4
LYFT,Other Transportation,Transportation,12719859.0,2.07801,1.73272,0.0,15.534092713702053,3.2665404681656587,10.627,0.0,0.6,False,5.494,15.0
LYV,Movies/Entertainment,Consumer Services,2365095.0,-673.69,137.201,0.0,0.0,0.0,0.0,0.0,0.5,False,0.15,22.0
LZAGY,Biotechnology,Health Technology,2073.0,-112.62,4.28484,0.0048722,0.0,1.1038918606062305,0.442,0.0,-0.1,False,0.191,24.0
LZB,Home Furnishings,Consumer Durables,425884.0,17.244118,1.36371,0.02659758,0.0,3.373151183169442,1.349,0.0,0.9,False,0.945,0.0
