date,willpower,negative_reinforcement,obsession,positive_reinforcement,program
2023-8-23,1.0,0.438,1.0,0.831,1.269
2023-8-24,1.0,0.625,0.889,0.731,1.467
2023-8-29,1.0,0.562,0.889,0.631,1.304
2023-9-1,0.889,0.625,1.0,0.631,1.145
2023-9-3,1.0,0.312,1.0,0.631,0.9430000000000001
2023-9-7,0.778,0.312,1.0,0.331,0.42100000000000004
2023-9-13,1.0,0.312,0.889,0.331,0.754
2023-9-19,0.889,0.375,1.0,0.531,0.795
